Size,Scalar,Matrix
2,5.1e-8,1.12e-7
2,4.7e-8,1.18e-7
2,4.2e-8,1.15e-7
2,4.3e-8,2.02e-7
2,4.3e-8,1.07e-7
2,4.1e-8,1.13e-7
2,4.4e-8,1.12e-7
2,4.3e-8,1.08e-7
2,4.2e-8,1.05e-7
2,4.3e-8,1.16e-7
2,4.4e-8,1.16e-7
12,5.8e-8,2.71e-7
12,5.3e-8,2.61e-7
12,5.7e-8,2.43e-7
12,5.1e-8,2.48e-7
12,5.7e-8,2.55e-7
12,5.4e-8,2.52e-7
12,5.7e-8,2.5e-7
12,5.0e-8,2.47e-7
12,5.5e-8,2.45e-7
12,6.0e-8,2.44e-7
12,5.4e-8,2.49e-7
22,7.1e-8,4.22e-7
22,6.7e-8,7.7e-7
22,7.0e-8,4.4e-7
22,6.9e-8,4.21e-7
22,6.4e-8,4.11e-7
22,6.8e-8,4.15e-7
22,6.6e-8,4.23e-7
22,6.4e-8,4.13e-7
22,7.6e-8,4.22e-7
22,6.4e-8,4.2e-7
22,6.6e-8,4.16e-7
32,1.2e-7,6.54e-7
32,9.9e-8,6.63e-7
32,1.0e-7,6.63e-7
32,8.8e-8,6.48e-7
32,9.9e-8,6.53e-7
32,8.4e-8,6.58e-7
32,9.1e-8,6.52e-7
32,9.0e-8,6.6e-7
32,9.2e-8,7.33e-7
32,9.0e-8,7.35e-7
32,9.3e-8,6.56e-7
42,1.35e-7,1.202e-6
42,1.08e-7,1.152e-6
42,1.06e-7,1.137e-6
42,1.05e-7,1.121e-6
42,9.7e-8,1.118e-6
42,1.03e-7,1.122e-6
42,1.01e-7,1.125e-6
42,1.1e-7,1.123e-6
42,1.05e-7,1.277e-6
42,9.9e-8,1.113e-6
42,1.03e-7,1.121e-6
52,1.23e-7,1.498e-6
52,1.27e-7,1.352e-6
52,1.25e-7,1.431e-6
52,1.11e-7,1.342e-6
52,1.3e-7,1.423e-6
52,1.11e-7,1.504e-6
52,1.23e-7,1.427e-6
52,1.11e-7,1.391e-6
52,1.28e-7,1.405e-6
52,1.19e-7,1.467e-6
52,1.28e-7,1.556e-6
62,1.56e-7,2.298e-6
62,1.57e-7,2.392e-6
62,1.31e-7,2.242e-6
62,1.42e-7,2.322e-6
62,1.38e-7,2.305e-6
62,1.38e-7,2.364e-6
62,1.44e-7,2.304e-6
62,1.37e-7,2.302e-6
62,1.22e-7,2.239e-6
62,1.29e-7,2.317e-6
62,1.44e-7,2.354e-6
72,2.11e-7,2.947e-6
72,1.45e-7,3.173e-6
72,1.54e-7,2.946e-6
72,1.24e-7,2.933e-6
72,1.2e-7,2.806e-6
72,1.53e-7,2.969e-6
72,1.25e-7,2.856e-6
72,1.42e-7,2.826e-6
72,1.25e-7,2.825e-6
72,1.43e-7,2.817e-6
72,1.58e-7,2.984e-6
82,1.61e-7,3.355e-6
82,1.42e-7,3.55e-6
82,1.61e-7,3.832e-6
82,1.6e-7,3.672e-6
82,1.53e-7,3.4e-6
82,1.63e-7,3.504e-6
82,1.71e-7,3.478e-6
82,1.33e-7,3.749e-6
82,1.34e-7,3.353e-6
82,1.71e-7,3.423e-6
82,1.34e-7,3.447e-6
92,1.51e-7,4.583e-6
92,1.53e-7,4.698e-6
92,1.74e-7,4.533e-6
92,1.56e-7,4.782e-6
92,1.73e-7,4.515e-6
92,1.58e-7,4.657e-6
92,2.0e-7,4.557e-6
92,1.44e-7,4.468e-6
92,1.67e-7,4.668e-6
92,1.81e-7,4.811e-6
92,1.42e-7,4.475e-6
102,1.6e-7,5.258e-6
102,1.68e-7,5.179e-6
102,1.8e-7,5.025e-6
102,1.82e-7,5.321e-6
102,1.76e-7,5.291e-6
102,1.81e-7,5.281e-6
102,1.66e-7,5.209e-6
102,2.53e-7,5.355e-6
102,1.97e-7,5.072e-6
102,2.3e-7,5.161e-6
102,1.7e-7,5.05e-6
112,1.8e-7,5.804e-6
112,1.96e-7,5.686e-6
112,1.85e-7,5.907e-6
112,1.76e-7,5.821e-6
112,1.85e-7,5.741e-6
112,1.89e-7,5.737e-6
112,1.91e-7,5.971e-6
112,2.02e-7,6.02e-6
112,1.92e-7,5.932e-6
112,1.86e-7,6.059e-6
112,1.69e-7,5.995e-6
122,1.8e-7,7.31e-6
122,1.97e-7,7.512e-6
122,2.03e-7,7.893e-6
122,1.91e-7,7.431e-6
122,2.08e-7,7.408e-6
122,1.9e-7,7.463e-6
122,2.05e-7,7.808e-6
122,1.88e-7,7.401e-6
122,1.76e-7,7.703e-6
122,1.85e-7,7.332e-6
122,2.64e-7,7.44e-6
132,2.76e-7,8.074e-6
132,2.19e-7,7.902e-6
132,2.14e-7,8.181e-6
132,2.25e-7,8.212e-6
132,2.1e-7,8.247e-6
132,2.01e-7,8.227e-6
