size,better,naive,blas
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.010000,0.000000,0.000000
52,0.000000,0.000000,0.000000
102,0.000000,0.000000,0.000000
102,0.010000,0.000000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.000000,0.000000
102,0.010000,0.000000,0.000000
102,0.000000,0.000000,0.010000
102,0.000000,0.000000,0.000000
102,0.000000,0.000000,0.010000
102,0.000000,0.000000,0.000000
102,0.010000,0.000000,0.000000
152,0.010000,0.010000,0.000000
152,0.010000,0.010000,0.000000
152,0.000000,0.010000,0.000000
152,0.010000,0.010000,0.000000
152,0.010000,0.000000,0.010000
152,0.010000,0.000000,0.000000
152,0.010000,0.010000,0.000000
152,0.010000,0.010000,0.000000
152,0.010000,0.000000,0.010000
152,0.000000,0.010000,0.000000
202,0.030000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.000000
202,0.020000,0.010000,0.010000
202,0.020000,0.020000,0.000000
252,0.050000,0.030000,0.010000
252,0.040000,0.030000,0.010000
252,0.060000,0.030000,0.020000
252,0.040000,0.030000,0.010000
252,0.040000,0.030000,0.010000
252,0.040000,0.040000,0.010000
252,0.060000,0.030000,0.010000
252,0.040000,0.030000,0.010000
252,0.050000,0.040000,0.010000
252,0.050000,0.030000,0.010000
302,0.070000,0.070000,0.010000
302,0.070000,0.060000,0.010000
302,0.070000,0.060000,0.010000
302,0.080000,0.090000,0.020000
302,0.120000,0.060000,0.010000
302,0.070000,0.070000,0.020000
302,0.080000,0.060000,0.020000
302,0.080000,0.060000,0.020000
302,0.080000,0.060000,0.020000
302,0.080000,0.060000,0.010000
352,0.110000,0.090000,0.030000
352,0.130000,0.160000,0.030000
352,0.140000,0.100000,0.030000
352,0.130000,0.090000,0.030000
352,0.120000,0.090000,0.030000
352,0.120000,0.090000,0.030000
352,0.120000,0.090000,0.020000
352,0.120000,0.100000,0.030000
352,0.140000,0.170000,0.030000
352,0.150000,0.120000,0.070000
402,0.240000,0.140000,0.040000
402,0.230000,0.150000,0.040000
402,0.180000,0.150000,0.030000
402,0.240000,0.150000,0.040000
402,0.230000,0.130000,0.040000
402,0.240000,0.170000,0.080000
402,0.180000,0.150000,0.080000
402,0.360000,0.140000,0.040000
402,0.220000,0.170000,0.040000
402,0.170000,0.220000,0.210000
452,0.360000,0.230000,0.050000
452,0.250000,0.390000,0.290000
452,0.340000,0.530000,0.190000
452,0.250000,0.210000,0.050000
452,0.260000,0.200000,0.050000
452,0.460000,0.210000,0.060000
452,0.410000,0.200000,0.050000
452,0.600000,0.580000,0.060000
452,0.440000,0.330000,0.220000
452,0.410000,0.210000,0.060000
502,0.590000,0.380000,0.200000
502,0.480000,0.310000,0.220000
502,0.380000,0.320000,0.090000
502,0.390000,0.330000,0.070000
502,0.400000,0.270000,0.100000
502,0.520000,0.320000,0.070000
502,0.490000,0.550000,0.290000
502,0.380000,0.270000,0.090000
502,0.600000,0.300000,0.070000
502,0.340000,0.350000,0.0900002,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
52,0.010000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.010000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.000000,0.000000
52,0.000000,0.010000,0.000000
102,0.000000,0.010000,0.000000
102,0.000000,0.020000,0.000000
102,0.000000,0.020000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
102,0.010000,0.010000,0.000000
152,0.040000,0.020000,0.010000
152,0.030000,0.040000,0.000000
152,0.040000,0.020000,0.010000
152,0.030000,0.040000,0.000000
152,0.040000,0.020000,0.010000
152,0.040000,0.030000,0.000000
152,0.040000,0.030000,0.000000
152,0.040000,0.030000,0.000000
152,0.040000,0.030000,0.000000
152,0.040000,0.030000,0.000000
202,0.090000,0.070000,0.010000
202,0.090000,0.070000,0.010000
202,0.090000,0.070000,0.010000
202,0.090000,0.060000,0.020000
202,0.080000,0.070000,0.010000
202,0.090000,0.070000,0.010000
202,0.090000,0.070000,0.010000
202,0.090000,0.070000,0.010000
202,0.090000,0.060000,0.020000
202,0.080000,0.070000,0.010000
252,0.180000,0.130000,0.020000
252,0.170000,0.130000,0.020000
252,0.170000,0.140000,0.020000
252,0.180000,0.130000,0.020000
252,0.170000,0.140000,0.020000
252,0.180000,0.130000,0.020000
252,0.170000,0.140000,0.020000
252,0.180000,0.130000,0.020000
252,0.180000,0.130000,0.020000
252,0.180000,0.130000,0.020000
302,0.300000,0.230000,0.030000
302,0.300000,0.230000,0.030000
302,0.300000,0.230000,0.030000
302,0.300000,0.240000,0.030000
302,0.300000,0.220000,0.030000
302,0.300000,0.240000,0.030000
302,0.300000,0.230000,0.030000
302,0.300000,0.240000,0.030000
302,0.320000,0.240000,0.030000
302,0.300000,0.240000,0.030000
352,0.580000,0.370000,0.060000
352,0.560000,0.360000,0.050000
352,0.490000,0.360000,0.050000
352,0.490000,0.370000,0.050000
352,0.490000,0.370000,0.050000
352,0.600000,0.400000,0.080000
352,0.570000,0.390000,0.050000
352,0.650000,0.390000,0.060000
352,0.540000,0.380000,0.060000
352,0.680000,0.370000,0.050000
402,0.710000,0.540000,0.080000
402,0.760000,0.560000,0.110000
402,0.790000,0.570000,0.080000
402,0.720000,0.580000,0.080000
402,0.790000,0.640000,0.080000
402,0.720000,0.540000,0.070000
402,0.730000,0.540000,0.080000
402,0.720000,0.550000,0.070000
402,0.710000,0.540000,0.080000
402,0.720000,0.550000,0.080000
452,1.390000,0.810000,0.110000
452,1.060000,0.770000,0.110000
452,1.060000,0.830000,0.150000
452,1.440000,0.780000,0.110000
452,1.060000,0.760000,0.110000
452,1.060000,0.770000,0.110000
452,1.090000,0.770000,0.100000
452,1.110000,0.790000,0.110000
452,1.440000,0.830000,0.110000
452,1.340000,0.780000,0.120000
502,1.740000,1.130000,0.150000
502,1.660000,1.070000,0.160000
502,1.570000,1.050000,0.140000
502,1.500000,1.090000,0.150000
502,1.660000,1.070000,0.150000
502,1.410000,1.070000,0.150000
502,1.590000,1.110000,0.170000
502,1.740000,1.100000,0.150000
502,1.400000,1.050000,0.150000
502,1.410000,1.050000,0.140000
